iteration,mean_reward,mean_value,mean_advantage,mean_ep_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var
1110,1.5407,31.3016,-0.2358,34.0,-0.0065,6.0245,7.0189,0.0027,0.0288,0.8476
1120,1.642,32.604,0.1115,34.5,-0.0046,6.5173,7.0323,0.002,0.0275,0.7181
1130,1.5843,32.6251,-0.4692,33.5,-0.0051,5.8081,7.0308,-0.0008,0.0259,0.7213
1140,1.6481,32.6985,0.1479,32.8,-0.006,4.8162,7.0277,0.0054,0.0536,0.6802
1150,1.6749,32.7804,0.3668,32.0,-0.0065,4.8025,7.0378,0.0045,0.0297,0.5673
1160,1.7146,33.5301,0.3982,30.5,-0.0095,2.2267,7.0542,0.0047,0.0516,0.6086
1170,1.687,33.4016,0.1818,30.2,-0.0096,2.5055,7.0774,0.0082,0.0526,0.3947
1180,1.5953,32.9005,-0.4969,35.6,-0.004,6.5899,7.0722,0.0004,0.0267,0.7066
1190,1.6021,32.8952,-0.4921,30.3,-0.0015,5.5136,7.0936,0.0007,0.0217,0.7484
1200,1.7324,33.3134,0.6702,32.9,-0.006,3.2085,7.101,0.0041,0.0286,0.5651
1210,1.6472,33.3385,-0.2201,32.4,-0.0082,3.7508,7.097,0.0072,0.0373,0.7253
1220,1.7239,33.7667,0.3605,31.2,-0.0073,1.746,7.114,0.0063,0.0451,0.5912
1230,1.6157,32.3682,-0.0202,34.3,-0.0063,4.6493,7.12,0.0012,0.0391,0.7976
1240,1.5522,31.5426,-0.2544,34.1,-0.0067,5.6317,7.1117,0.0027,0.0368,0.7911
1250,1.578,32.4819,-0.474,33.4,-0.0042,6.6757,7.0831,0.0034,0.0248,0.7483
1260,1.6451,32.8821,0.0086,32.4,-0.0055,5.0418,7.0832,0.0041,0.0251,0.7109
1270,1.6183,33.2461,-0.4662,30.6,-0.0045,5.7845,7.0887,0.0008,0.0276,0.657
1280,1.6599,33.1241,0.0534,32.3,-0.0074,4.476,7.0968,0.0082,0.0599,0.7219
1290,1.6967,33.4874,0.246,32.3,-0.0072,4.3983,7.0969,0.0019,0.0435,0.7125
1300,1.6377,32.346,0.2014,34.1,-0.0064,4.908,7.1063,0.004,0.0271,0.7634
1310,1.6644,33.1826,0.07,35.1,-0.0051,5.8268,7.0954,0.0021,0.0295,0.6729
1320,1.5617,32.0847,-0.4157,35.7,-0.0049,5.143,7.0698,0.0016,0.0225,0.7807
1330,1.7057,33.7134,0.2187,30.9,-0.0106,2.2042,7.0816,0.0047,0.0507,0.604
1340,1.6596,33.3598,-0.0665,30.8,-0.009,3.0712,7.1037,0.0082,0.0507,0.7189
1350,1.6721,33.4434,0.0047,33.3,-0.012,2.8418,7.0814,0.0074,0.0722,0.7397
1360,1.6966,33.6367,0.1573,30.4,-0.0067,2.6476,7.0662,0.0032,0.034,0.5042
1370,1.6677,33.0123,0.1738,33.8,-0.006,4.5121,7.0755,0.0026,0.0302,0.7445
1380,1.6211,33.1882,-0.3917,33.1,-0.0067,4.6769,7.0612,0.0023,0.0376,0.8043
1390,1.6575,33.7737,-0.2928,31.2,-0.0063,3.7662,7.0587,0.0056,0.0412,0.6164
1400,1.6727,33.9521,-0.2488,33.7,-0.0091,3.6472,7.0672,0.0075,0.0517,0.77
1410,1.679,33.3691,0.1092,34.5,-0.0087,4.148,7.0897,0.0083,0.0678,0.8056
1420,1.6386,33.6436,-0.4371,35.2,-0.0053,4.1816,7.0942,0.0018,0.0264,0.755
1430,1.6596,33.4849,-0.1295,33.3,-0.0075,4.1732,7.1101,0.0031,0.0411,0.7077
1440,1.6518,33.1346,-0.0454,36.4,-0.0066,4.675,7.1114,0.0046,0.0399,0.7685
1450,1.643,33.7434,-0.4261,32.2,-0.0055,3.7432,7.1027,0.0018,0.0271,0.6798
1460,1.7046,34.1867,-0.0361,34.4,-0.01,2.9715,7.1111,0.0084,0.0575,0.6572
1470,1.7187,33.8052,0.2829,34.8,-0.0073,3.9286,7.0933,0.0065,0.0445,0.685
1480,1.5683,32.5232,-0.5722,40.8,-0.0052,9.9623,7.074,-0.0005,0.0249,0.7955
1490,1.6926,34.118,-0.1327,31.4,-0.0083,2.7517,7.0749,0.0037,0.045,0.7047
1500,1.6539,33.3772,-0.124,37.6,-0.0066,6.5331,7.0825,0.0039,0.0311,0.7399
1510,1.6718,33.8299,-0.1953,38.3,-0.0056,5.2584,7.0665,0.0042,0.0365,0.77
1520,1.7178,33.9843,0.169,36.6,-0.0061,4.1406,7.0434,0.0073,0.0354,0.7177
1530,1.719,34.1931,0.1041,37.8,-0.009,5.3165,7.0549,0.0068,0.0585,0.7659
1540,1.6565,33.6043,-0.2386,35.1,-0.0078,4.9365,7.032,0.0089,0.0423,0.7523
1550,1.6452,34.0146,-0.5849,37.8,-0.0045,5.669,7.0201,0.0001,0.0216,0.7987
1560,1.5778,33.4288,-1.0191,36.7,-0.0048,5.5223,6.9824,-0.0013,0.0376,0.7909
1570,1.7583,34.9593,0.1131,37.3,-0.0137,2.0018,6.963,0.0165,0.0873,0.7175
1580,1.731,34.7953,-0.0885,41.7,-0.0095,4.001,6.942,0.0026,0.0516,0.801
1590,1.7789,34.8567,0.3783,38.9,-0.0089,3.431,6.947,0.0103,0.0577,0.7233
1600,1.7567,34.7322,0.2192,42.4,-0.009,2.7875,6.9315,0.006,0.0433,0.8132
1610,1.713,34.7301,-0.2095,35.8,-0.009,4.3811,6.939,0.0029,0.0467,0.7553
1620,1.7476,34.9243,0.0401,37.4,-0.009,4.2454,6.9282,0.0044,0.0436,0.7695
1630,1.7965,35.2606,0.3661,40.7,-0.0084,3.3321,6.9298,0.0043,0.0483,0.7819
1640,1.6981,34.5989,-0.332,36.6,-0.0081,4.4341,6.9056,-0.0008,0.0448,0.8393
